face_id,x,y,z,closeness,betweenness
face_1,33766.397266,-439.228391,8530.516379,0.033356,0.153943
face_2,33867.92543,-398.644626,8530.516379,0.03307,0.148587
face_3,33767.243333,-338.924042,8530.516379,0.033558,0.098838
face_4,33667.243333,-438.924042,8530.516379,0.033612,0.122591
face_5,33767.243333,-538.924042,8530.516379,0.03242,0.032545
face_6,33852.090311,-462.960434,8530.516379,0.032294,0.000936
face_7,33917.090309,-496.746682,8530.516379,0.032087,0.008852
face_8,33967.243333,-438.924042,8530.516379,0.032783,0.135439
face_9,33867.243333,-338.924042,8530.516379,0.033268,0.098173
face_10,33767.243333,-238.924042,8530.516379,0.033689,0.232614
face_11,33667.243333,-338.924042,8530.516379,0.033817,0.097469
face_12,33567.243333,-438.924042,8530.516379,0.033852,0.114509
face_13,33667.243333,-538.924042,8530.516379,0.032662,0.019601
face_14,33767.243333,-638.924042,8530.516379,0.031526,0.023384
face_15,33852.090311,-538.924042,8530.516379,0.031416,0.001532
face_16,33967.243333,-496.746682,8530.516379,0.031817,0.017858
face_17,34067.243333,-438.924042,8530.516379,0.032496,0.123807
face_18,33967.243333,-338.924042,8530.516379,0.032977,0.09571
face_19,33867.243333,-238.924042,8530.516379,0.033397,0.23719
face_20,33767.243333,-143.930132,8530.516379,0.032602,0.002069
face_21,33667.243333,-238.924042,8530.516379,0.03395,0.229137
face_22,33567.243333,-338.924042,8530.516379,0.034059,0.098922
face_23,33467.243333,-438.924042,8530.516379,0.034075,0.11221
face_24,33567.243333,-538.924042,8530.516379,0.032888,0.014582
face_25,33667.243333,-638.924042,8530.516379,0.031754,0.017684
face_26,33767.243333,-738.924042,8530.516379,0.03067,0.017755
face_27,33852.090311,-638.924042,8530.516379,0.030576,0.001929
face_28,34071.587127,-542.082808,8530.516379,0.031546,0.030165
face_29,34167.243333,-438.924042,8530.516379,0.032192,0.113791
face_30,34067.243333,-338.924042,8530.516379,0.032687,0.091998
face_31,33967.239391,-244.476952,8530.516379,0.033104,0.243063
face_32,33867.243333,-143.930132,8530.516379,0.032328,0.001472
face_33,33667.243333,-143.930132,8530.516379,0.032846,0.002481
face_34,33567.243333,-238.924042,8530.516379,0.034195,0.226802
face_35,33467.243333,-338.924042,8530.516379,0.034285,0.100575
face_36,33367.243333,-438.924042,8530.516379,0.03428,0.113355
face_37,33467.243333,-538.924042,8530.516379,0.033099,0.012858
face_38,33567.243333,-638.924042,8530.516379,0.031968,0.015275
face_39,33667.243333,-738.924042,8530.516379,0.030887,0.015535
face_40,33767.243333,-838.924042,8530.516379,0.029852,0.014009
face_41,33852.090311,-738.924042,8530.516379,0.02977,0.002198
face_42,33967.243333,-561.746681,8530.516379,0.030592,0.00394
face_43,34067.243333,-638.924042,8530.516379,0.030604,0.012525
face_44,34162.799311,-542.602278,8530.516379,0.03126,0.02589
face_45,34267.243333,-438.924042,8530.516379,0.03188,0.108078
face_46,34167.243333,-338.924042,8530.516379,0.03238,0.087452
face_47,34067.243333,-244.480897,8530.516379,0.032811,0.248986
face_48,33917.274881,-143.930132,8530.516379,0.032054,0.000634
face_49,33567.243333,-143.930132,8530.516379,0.033075,0.002747
face_50,33467.243333,-238.924042,8530.516379,0.034422,0.225204
face_51,33367.243333,-338.924042,8530.516379,0.034493,0.101992
