x,y,z,df
50962.8828125,-9109.1904296875,-179.72142028808594,0.0
50962.8828125,-8989.15283203125,-179.72142028808594,0.0
51106.314453125,-9109.1904296875,-179.72142028808594,0.0
51106.314453125,-8989.15283203125,-179.72142028808594,0.0
53514.615234375,-8169.801513671875,-179.72142028808594,0.0
53514.615234375,-8065.076171875,-179.72142028808594,0.0
53514.615234375,-7960.350830078125,-179.72142028808594,0.0
53514.615234375,-7855.62548828125,-179.72142028808594,0.0
53514.615234375,-7750.89990234375,-179.72142028808594,0.0
53630.94140625,-8169.801513671875,-179.72142028808594,0.0
53630.94140625,-8065.076171875,-179.72142028808594,0.0
53630.94140625,-7960.350830078125,-179.72142028808594,0.0
53630.94140625,-7855.62548828125,-179.72142028808594,0.0
53630.94140625,-7750.89990234375,-179.72142028808594,0.0
50970.90234375,-9843.4384765625,-179.72142028808594,0.0
50970.90234375,-9739.1083984375,-179.72142028808594,0.0
51108.98828125,-9843.4384765625,-179.72142028808594,0.0
51108.98828125,-9739.1083984375,-179.72142028808594,0.0
50754.162109375,-9843.4384765625,-179.72142028808594,0.0
50754.162109375,-9739.1083984375,-179.72142028808594,0.0
50852.626953125,-9843.4384765625,-179.72142028808594,0.0
50852.626953125,-9739.1083984375,-179.72142028808594,0.0
50502.8515625,-9843.4384765625,-179.72142028808594,0.0
50502.8515625,-9739.1083984375,-179.72142028808594,0.0
50637.5703125,-9843.4384765625,-179.72142028808594,0.0
50637.5703125,-9739.1083984375,-179.72142028808594,0.0
50499.020833333336,-9641.392252604166,-179.72142028808594,0.0
50664.619791666664,-9595.841145833334,-179.72142028808594,0.0
50588.833333333336,-9641.392252604166,-179.72142028808594,0.0
50806.76171875,-9504.738932291666,-179.72142028808594,0.0
50636.684895833336,-9504.738932291666,-179.72142028808594,0.0
50469.083333333336,-9580.657552083334,-179.72142028808594,0.0
50469.083333333336,-9489.555338541666,-179.72142028808594,0.0
50530.9609375,-9459.187825520834,-179.72142028808594,0.0
50695.911458333336,-9459.187825520834,-179.72142028808594,0.0
50757.790364583336,-9459.187825520834,-179.72142028808594,0.0
50786.484375,-9641.392252604166,-179.72142028808594,0.0
50910.592447916664,-9595.841145833334,-179.72142028808594,0.0
50838.4609375,-9595.841145833334,-179.72142028808594,0.0
51083.069010416664,-9641.392252604166,-179.72142028808594,0.0
50954.9453125,-9641.392252604166,-179.72142028808594,0.0
51144.440104166664,-9611.024739583334,-179.72142028808594,0.0
50953.678385416664,-9459.187825520834,-179.72142028808594,0.0
50909.83203125,-9504.738932291666,-179.72142028808594,0.0
51012.904947916664,-9504.738932291666,-179.72142028808594,0.0
51113.501302083336,-9459.187825520834,-179.72142028808594,0.0
51144.440104166664,-9519.922526041666,-179.72142028808594,0.0
51051.623697916664,-9459.187825520834,-179.72142028808594,0.0
51013.411458333336,-9595.841145833334,-179.72142028808594,0.0
50855.733072916664,-9459.187825520834,-179.72142028808594,0.0
50205.1796875,-9797.2763671875,-179.72142028808594,0.0
50205.1796875,-9628.5126953125,-179.72142028808594,0.0
50235.888020833336,-9862.742838541666,-179.72142028808594,0.0
50328.013020833336,-9862.742838541666,-179.72142028808594,0.0
50251.2421875,-9693.851888020834,-179.72142028808594,0.0
50205.1796875,-9229.869791666666,-179.72142028808594,0.0
50205.1796875,-9404.1494140625,-179.72142028808594,0.0
50228.2109375,-9542.1552734375,-179.72142028808594,0.0
50205.1796875,-9285.469075520834,-179.72142028808594,0.0
50343.3671875,-9689.764973958334,-179.72142028808594,0.0
50389.4296875,-9496.3203125,-179.72142028808594,0.0
50343.3671875,-9553.551432291666,-179.72142028808594,0.0
50389.4296875,-9622.704752604166,-179.72142028808594,0.0
50389.4296875,-9770.0048828125,-179.72142028808594,0.0
50389.4296875,-9839.558268229166,-179.72142028808594,0.0
50358.721354166664,-9202.069986979166,-179.72142028808594,0.0
50343.3671875,-9324.5302734375,-179.72142028808594,0.0
50266.596354166664,-9202.069986979166,-179.72142028808594,0.0
50251.2421875,-9325.812174479166,-179.72142028808594,0.0
50389.4296875,-9256.387369791666,-179.72142028808594,0.0
50389.4296875,-9373.145182291666,-179.72142028808594,0.0
50343.3671875,-9422.252604166666,-179.72142028808594,0.0
50251.2421875,-9451.974934895834,-179.72142028808594,0.0
51616.2265625,-10029.8583984375,-179.72142028808594,0.0
51616.2265625,-9927.14990234375,-179.72142028808594,0.0
51616.2265625,-9824.44140625,-179.72142028808594,0.0
51616.2265625,-9721.73291015625,-179.72142028808594,0.0
51616.2265625,-9619.0244140625,-179.72142028808594,0.0
